项目编号,notice_id,采购日期,截止日期,预算金额,标项_count,URL
YH2021-11041,8514386,2021-11-24,2021年12月15日14:00,"214000,262000",2,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8411080
QTFSCG2021-140-1,8516874,2021-12-31,,685924,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8506180
YH2021-11040,8517787,2021-11-24,2021年12月15日09:00,"410000,410000",2,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8411062
绍柯采[2021]5303号,8525052,2021-12-27,2022年01月20日09:30,3100000,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8499006
HCTZ-2022-0001,8528317,2022-01-13,,427452,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8518009
HQZB-PYCG-2022011402,8531070,2022-01-14,,2240000,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8520095
OBANG2021-FW032-ZFCG0323-2,8533140,2022-01-06,2022年01月27日09:00,3000000,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8511521
HZJS2022-001,8533173,2022-01-17,,600000,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8521166
RTZFCG-2022-001,8712832,2022-05-07,2022年05月27日10:00,710000,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8669084
YJZFCG2022-074,8715537,2022-05-07,2022年05月30日13:30,900000,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8670023
BSZB2022-BZZC073,8718242,2022-05-19,,885462,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8695809
DTCG20220510032,8718901,2022-05-10,2022年05月31日09:30,458014,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8675339
绍柯采[2022]1332号,8720274,2022-05-09,2022年05月31日09:30,3000000,1,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8671558
