project_id,winning_date,winning_notice_url,order_id,winning_order_cnt,project_winning_amt,supplier_name,supplier_addr,order_name,winning_amt,cadidate_name,buyer_name,buyer_addr,buyer_contact,buyer_phone,agency_name,agency_addr,agency_contact,agency_phone,source_id,
ZJ-2262683G,2022年11月03日 18:31,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202211/t20221103_18944513.htm,1,1,,圣奥科技股份有限公司,萧山经济技术开发区宁东路35号,普通2人阅览桌、多媒体教室和研讨间家具等,95.8160000（万元）,,浙江大学,浙江省杭州市西湖区余杭塘路866号,冯越男18768114728,18768114728,浙江国际招投标有限公司,浙江省杭州市西湖区文三路90号东部软件园1号楼3楼,谢凯枫0571-897318413,,0,
北林招（服）[ZB2022]100号（TC22190D2）,2022年12月17日 08:29,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221217_19249421.htm,1,1,,北京竹远科创科技股份有限公司,北京市海淀区上地三街9号D座7层D806-5,北京林业大学多媒体教室常态化录播采购项目,841.1000000（万元）,,北京林业大学,北京市海淀区清华东路35号,李老师，010-62337427,，010-62337427,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦,张涵睿、李迎澳、蒋雪娜、陈思佳，010-61954121、4120、41223,,1,
BMCC-ZC22-0711,2022年12月18日 19:38,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221218_19251201.htm,"1,2,3",3,,"北京众邦立德科技有限公司,北京神州新桥科技有限公司,中泰博瑞（北京）机电工程有限公司","北京市朝阳区东三环北路3号B座10层1001-1003房间,北京市海淀区西三环北路89号12层B-08号,昌平区回龙观镇北清路1号院6号楼7层1单元803-2",北京大学智慧校园基础设施建设项目,"1675.0000000（万元）,524.8576000（万元）,1008.0000000（万元）",,北京大学,北京市海淀区颐和园路5号,吴老师，010-62758587,，010-62758587,北京明德致信咨询有限公司,北京市海淀区学院路30号科大天工大厦B座17层09室（邮编：100083）,孙经理、刘亚运、吕家乐、王爽、吕绍山，010-82370045、15801412428、159108478653,,1,
清后招2022096,2022年12月20日 11:56,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221220_19262578.htm,1,1,,北京信科联物业管理有限公司,北京市海淀区莱圳家园18号楼4层4010室,清华大学教学区教室保洁、值班、摆车服务,597.8028520（万元）,,清华大学,北京市海淀区清华园,赵老师010-62796988,010-62796988,华诚博远工程咨询有限公司,北京市西城区宣武门外大街10号庄胜广场中央办公楼北翼13A,周满堂010-57693587、182100945183,,1,
2022-GADX-HW-236,2022年12月21日 17:17,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221221_19274355.htm,1,1,,北京世纪超星信息技术发展有限责任公司,北京市海淀区上地三街9号金隅嘉华大厦C座710室,中国人民公安大学2022年智慧教室建设项目,,,中国人民公安大学,北京市西城区木樨地南里1号,杨老师、曹老师：010-83903270,、曹老师：010-83903270,北京兴电国际工程管理有限公司,海淀区首体南路9号中国电工大厦7层717,王工、徐工;177185330803,,1,
BIECC-22ZB1250,2023年01月04日 15:58,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230104_19339937.htm,1,1,,北京城建物业管理有限责任公司,北京市海淀区学院南路62号,中国地质大学(北京）保卫处校园消防中控值守项目,194.4000000（万元）,,中国地质大学（北京）,北京市海淀区学院路29号,田老师，010-82323930,，010-82323930,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座六层,王经理、周经理、010-823767333,,1,
ZHWZ2022-488HW,2023年01月05日 16:54,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230105_19345328.htm,1,1,,珠海市瑞柏家具有限公司,珠海市人民西路856号8栋四层425号,北京师范大学珠海校区教室课桌椅采购项目,92.9746000（万元）,,北京师范大学珠海校区,广东省珠海市香洲区唐家湾镇金凤路18号,联系人：尤立红；联系方式：0756-3683857,：尤立红；联系方式：0756-3683857,珠海市物资招标有限公司,珠海市吉大石花西路林海大厦2楼,联系人：许沂宣；联系方式：0756-33610153,,1,
GXTC-A1-22631325,2023年01月20日 16:24,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230120_19400687.htm,1,1,,北京中天瑞合科技有限公司,北京市海淀区龙岗路51号院7号楼2层45室,中国劳动关系学院北京校区闻道楼多媒体教室教学设备集中控制项目,,,中国劳动关系学院,北京市海淀区增光路45号,刘老师，010-88561791,，010-88561791,国信国际工程咨询集团股份有限公司,北京市海淀区和泓四季6号楼,马经理，185130408183,,1,
QSZB-Z(H)-A22093(GK),2022年06月10日 08:57,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202206/t20220610_18052146.htm,1,1,,杭州恒迪视讯技术有限公司,杭州市西湖区文一西路857号2幢708室,常态化录播教室建设,117.8166000（万元）,,浙江大学,浙江省海宁市海洲东路718号浙江大学国际校区,陈老师0571-87572722,0571-87572722,浙江求是招标代理有限公司,杭州市西湖区玉古路173号中田大厦11楼,陈宵、王娜0571-876661193,,0,
CFTC-BJ01-22011050,2022年12月06日 18:05,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19169191.htm,1,1,,北京金商祺科技有限公司,北京市海淀区北四环西路65号海淀新技术大厦1520室,北京师范大学语音教室改造项目,328.8600000（万元）,,北京师范大学,北京市新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,国金招标有限公司,北京市朝阳区东三环南路甲52号顺迈金钻国际商务中心9层9C,边璐、王珊珊、张金鑫、吴丹、张含勇010-562150503,,1,
CFTC-BJ01-22011051,2022年12月06日 18:08,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221206_19169247.htm,1,1,,北京富源天成科技有限公司,北京市海淀区唐家岭村南2幢二层204,北京师范大学智慧教室建设项目,226.7000000（万元）,,北京师范大学,北京市新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,国金招标有限公司,北京市朝阳区东三环南路甲52号顺迈金钻国际商务中心9层9C,边璐、王珊珊、张金鑫、吴丹、张含勇010-562150503,,1,
XHTC-HW-2022-1735,2022年12月09日 19:03,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221209_19199406.htm,1,1,,联通数字科技有限公司,北京市北京经济技术开发区科谷一街10号院8号楼12层1201(北京自贸试验区高端产业片区亦庄组团)）,北京师范大学5G智慧校园示范场景建设,749.1800000（万元）,,北京师范大学,北京市海淀区新街口外大街19号,滕老师zfcg@bnu.edu.cn,zfcg@bnu.edu.cn,新华招标有限公司,北京市海淀区莲花池东路39号西金大厦11层,叶子青、李硕、杜女士010-639059773,,1,
