project_id,winning_date,winning_notice_url,order_id,winning_order_cnt,project_winning_amt,supplier_name,supplier_addr,order_name,winning_amt,cadidate_name,buyer_name,buyer_addr,buyer_contact,buyer_phone,agency_name,agency_addr,agency_contact,agency_phone,source_id
BMCC-ZC22-0690,2022年12月26日 17:41,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221226_19299853.htm,"1,2",2,,"01包：北京同方凌讯科技有限公司,02包：北京晨光溢海数码科技有限公司","北京市海淀区王庄路1号清华同方科技大厦A座26层,北京市通州区新华北街75号",对外经济贸易大学博学楼智慧教室改造项目,"452.2280000（万元）,394.9799000（万元）",,对外经济贸易大学,北京市朝阳区惠新东街10号,冯老师010-64494571,,北京明德致信咨询有限公司,北京市海淀区学院路30号科大天工大厦B座17层1709室,韩经理、王经理、吕绍山、颜华010－82370045/176002071043,,1
11000022210200024818-XM001,2022年12月30日 15:21,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221230_19327306.htm,1,1,,北京伟森盛业家具有限公司中标成交,,改善办学保障条件—北京信息科技大学新校区三组团教室智慧教学应用系统建设项目（新竣工楼配套）其他家具用具采购项目,,,北京信息科技大学,北京市海淀区小营东路12号,"商老师,80707556",,北京市政府采购中心,北京市丰台区玉林里45号腾飞大厦,赵雪波，839166823,,1
ZCGH-ZB-202212009,2023年01月04日 13:45,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230104_19338645.htm,1,1,,北京宏扬迅腾科技发展有限公司,北京市密云区密云镇靶场路,北京市密云区古北口镇中心小学智慧校园建设项目,85.6000000（万元）,,北京市密云区古北口镇中心小学,北京市密云区古北口镇河西村,010-69042660,,中承国汇咨询(北京)有限公司,北京市北京经济技术开发区万源街22号,010-533837793,,1
BIECC-22ZB1250,2023年01月04日 15:58,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230104_19339937.htm,1,1,,北京城建物业管理有限责任公司,北京市海淀区学院南路62号,中国地质大学(北京）保卫处校园消防中控值守项目,194.4000000（万元）,,中国地质大学（北京）,北京市海淀区学院路29号,田老师，010-82323930,,北京国际工程咨询有限公司,北京市海淀区学院路30号科大天工大厦A座六层,王经理、周经理、010-823767333,,1
ZHWZ2022-488HW,2023年01月05日 16:54,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230105_19345328.htm,1,1,,珠海市瑞柏家具有限公司,珠海市人民西路856号8栋四层425号,北京师范大学珠海校区教室课桌椅采购项目,92.9746000（万元）,,北京师范大学珠海校区,广东省珠海市香洲区唐家湾镇金凤路18号,联系人：尤立红；联系方式：0756-3683857,,珠海市物资招标有限公司,珠海市吉大石花西路林海大厦2楼,联系人：许沂宣；联系方式：0756-33610153,,1
ZCGH-ZB-202212022,2023年01月18日 08:18,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230118_19391073.htm,1,1,,北京宏扬迅腾科技发展有限公司,北京市密云区密云镇靶场路,北京市密云区古北口中学智慧校园建设项目,84.2800000（万元）,,北京市密云区古北口中学,北京市密云区古北口中学,张主任010-81051355,,中承国汇咨询(北京)有限公司,北京市北京经济技术开发区万源街22号,刘兴龙010-533837793,,1
GXTC-A1-22631325,2023年01月20日 16:24,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230120_19400687.htm,1,1,,北京中天瑞合科技有限公司,北京市海淀区龙岗路51号院7号楼2层45室,中国劳动关系学院北京校区闻道楼多媒体教室教学设备集中控制项目,,,中国劳动关系学院,北京市海淀区增光路45号,刘老师，010-88561791,,国信国际工程咨询集团股份有限公司,北京市海淀区和泓四季6号楼,马经理，185130408183,,1
CTIETC-HWZB-2211072,2022年12月16日 22:43,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248763.htm,1,1,,北京全德隆创意家具有限公司,北京市通州区张家湾镇后街村236号,北京航空航天大学两校区智慧教室配套桌椅购置项目,1227.8380000（万元）,,北京航空航天大学教务处,北京市海淀区学院路37号,宋老师010-82317597,,中贸国际工程招标（北京）有限公司,北京市丰台区西四环南路35号中都科技大厦516室,成凯、冯英山、陈雪松010-86203830、862038313,,1
北林招（服）[ZB2022]100号（TC22190D2）,2022年12月17日 08:29,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221217_19249421.htm,1,1,,北京竹远科创科技股份有限公司,北京市海淀区上地三街9号D座7层D806-5,北京林业大学多媒体教室常态化录播采购项目,841.1000000（万元）,,北京林业大学,北京市海淀区清华东路35号,李老师，010-62337427,,中招国际招标有限公司,北京市海淀区学院南路62号中关村资本大厦,张涵睿、李迎澳、蒋雪娜、陈思佳，010-61954121、4120、41223,,1
BMCC-ZC22-0711,2022年12月18日 19:38,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221218_19251201.htm,"1,2,3",3,,"北京众邦立德科技有限公司,北京神州新桥科技有限公司,中泰博瑞（北京）机电工程有限公司","北京市朝阳区东三环北路3号B座10层1001-1003房间,北京市海淀区西三环北路89号12层B-08号,昌平区回龙观镇北清路1号院6号楼7层1单元803-2",北京大学智慧校园基础设施建设项目,"1675.0000000（万元）,524.8576000（万元）,1008.0000000（万元）",,北京大学,北京市海淀区颐和园路5号,吴老师，010-62758587,,北京明德致信咨询有限公司,北京市海淀区学院路30号科大天工大厦B座17层09室（邮编：100083）,孙经理、刘亚运、吕家乐、王爽、吕绍山，010-82370045、15801412428、159108478653,,1
