,project_id,winning_date,winning_notice_url,order_id,winning_order_cnt,project_winning_amt,supplier_name,supplier_addr,order_name,winning_amt,cadidate_name,buyer_name,buyer_addr,buyer_contact,buyer_phone,agency_name,agency_addr,agency_contact,agency_phone
0,郑财招标采购-2022-347,2023年01月11日,http://hngp.gov.cn/henan/content?infoId=1340382&channelCode=H610102,1,1,,河南云鲸信息技术有限公司,郑州高新技术产业开发区西三环289号创新园13号楼9层901室,郑州旅游职业学院智慧校园管理服务提升项目,2208000,,郑州旅游职业学院,河南省郑州市郑东新区金龙路188号,姬老师,0371-61130116,河南广电招标有限公司,郑州市金水区经五路2号,唐先生,0371-65887848
1,郑财招标采购-2022-355,2022年12月29日,http://hngp.gov.cn/henan/content?infoId=1333930&channelCode=H610102,1,1,,河南云鲸信息技术有限公司,郑州高新技术产业开发区西三环289号创新园13号楼9层901室,智慧校园数据治理，详见招标文件。,2138000,,郑州旅游职业学院,郑州市郑东新区金龙路188号,姬晖,0371-61130116,河南省通力建设工程咨询有限公司,郑州市经开区航海东路与经开第八大街交叉口富田财富广场1号楼22层2202室,张硕,17320106752
2,豫财招标采购-2022-789,2022年12月27日,http://hngp.gov.cn/henan/content?infoId=1333871&channelCode=H600102,1,1,,北京智慧远景科技产业股份有限公司,北京市西城区新街口外大街28号A座231号,安阳师范学院智慧校园能源管理平台项目2,1180000,,安阳师范学院,河南省安阳市弦歌大道安阳师范学院,贺老师,0372-3300550,河南省教育招标服务有限公司,河南省郑州市金水区花园路与农业路交叉口北100米路西河南省农业科学院农信楼一楼,翟向阳侯雷胜姚刚,0371-56058512\13\19
3,郑财招标采购-2022-343,2022年12月28日,http://hngp.gov.cn/henan/content?infoId=1332423&channelCode=H610102,"1,2",2,,"河南晟智科技有限公司,成都市灵奇空间软件有限公司","郑州市金水区农业路东16号2号楼2309号,成都市武侯区旅游村4-2幢3号2层","三维可视化智慧校园管理平台开发,地图数据制作","3632860.00,116800.00",,郑州旅游职业学院,郑州市郑东新区金龙路188号,姬晖,0371-61130016,河南招标采购服务有限公司,郑州市纬四路13号（花园路与纬四路交叉口东50米路北）,袁野,0371-65945493
4,南阳政采公开-2022-142,2022年12月22日,http://hngp.gov.cn/henan/content?infoId=1327837&channelCode=H740602,1,1,,中国移动通信集团河南有限公司南阳分公司,南阳市张衡东路 1266 号,南阳市实验中学智慧校园建设（一期）项目,2180000,,南阳市实验中学,南阳市进贤街36号,张老师,18595995717,中基建安工程管理有限公司,河南自贸试验区郑州片区（郑东）心怡路319号易元国际B座1624号,任先生,19137921721
5,豫财招标采购-2022-1095,2022年12月08日,http://hngp.gov.cn/henan/content?infoId=1316535&channelCode=H600102,"1,2",2,,"河南云鲸信息技术有限公司,精华教育科技股份有限公司","郑州高新技术产业开发区西三环289号创新园13号楼9层901室,郑州市金水区文化路82号硅谷广场2号楼8层805号","安阳师范学院智慧校园基础平台包一,安阳师范学院智慧校园基础平台包二","5666000.00,2050000.00",,安阳师范学院,安阳市弦歌大道436号,贺老师,0372-3300550,河南招标采购服务有限公司,郑州市金水区纬四路13号,张斯栋、李芬,0371-65958908
6,洛采公开-2022-232,2022年12月09日,http://hngp.gov.cn/henan/content?infoId=1315898&channelCode=H640102,1,1,,北京希嘉创智教育科技有限公司,北京市朝阳区酒仙桥东路18号1号楼五层B506,洛阳职业技术学院智慧校园数据治理与共享交换服务平台项目,1786500,,洛阳职业技术学院,洛阳市伊滨区科技大道6号,柴老师,13525932339,河北恒基建设招标有限公司,洛阳市洛龙区金城寨街与展览路交叉口西北角一品雅居2号楼1单元2201,雷女士,0379-65996079
7,豫财招标采购-2022-1177,2022年12月06日,http://hngp.gov.cn/henan/content?infoId=1313152&channelCode=H600102,1,1,,河南河源计算机科技有限公司,郑州市金水区东风路东段11号9层911号,具体详见招标文件,2488000,,河南省商务中等职业学校,郑州市金水区博颂路6号,杨老师,0371-63795361,中诚景信工程咨询有限公司,郑州市郑东新区康宁街与心怡路交叉口亚新广场A座8楼805室,邵先生、侯女士,0371-87520763
8,豫财招标采购-2022-1241,2022年12月02日,http://hngp.gov.cn/henan/content?infoId=1312273&channelCode=H600102,1,1,,河南省哲浩电子技术有限公司,郑州市金水区信息学院路8号院3号楼1单元5层9号,河南师范大学2022年中央财政智慧教学环境建设(一期)项目,4773914,,河南师范大学,河南省新乡市建设东路46号,王老师,0373-3326357,河南省公共资源交易中心,郑州市经二路12号,唐老师申老师,0371-65915561hnggzyzfcg1@126.com
9,豫财招标采购-2022-1206,2022年11月23日,http://hngp.gov.cn/henan/content?infoId=1303261&channelCode=H600102,1,1,,郑州迈达信息技术有限公司,郑州高新技术产业开发区冬青街26号河南省电子商务产业园6号楼1202-36号,河南工业贸易职业学院双向互动视频教学系统设施建设项目,4739260,,河南工业贸易职业学院,河南省郑州市新郑龙湖大学城祥云路,靳老师,0371-60987880,河南省机电设备国际招标有限公司,郑州市管城区商都路27号财信大厦15楼,高志勇、延丽丽、王楠楠,0371-86096556
10,驻政采购-2022-10-22,2022年11月23日,http://hngp.gov.cn/henan/content?infoId=1303153&channelCode=H780602,1,1,,中国联合网络通信有限公司驻马店市分公司,驻马店北开发区团结路西段,关于改善办学条件、提升教学质量项目（第四期）,7695575,,驻马店幼儿师范高等专科学校,驻马店市驿城区盘龙山路2658号铜山大道与纬十路交叉口,史先生,0396-3580288,河南铭鸿招标代理服务有限公司,驻马店市驿城区雪松路与塘坊路交叉口塘坊庄社区陈庄安置大厦204,刘女士,15660506658
11,三财公开采购-2022-49,2022年11月02日,http://hngp.gov.cn/henan/content?infoId=1289543&channelCode=H730202,1,1,,河南仪迈科技有限公司,河南省郑州市惠济区南阳路 185 号裕华文汇 6 号楼 2 单元 601 号,智能滑动轴承实验系统,1466800,,三门峡职业技术学院,三门峡市崤山路西段42号,周老师,13633986917,三门峡市政府采购服务中心,三门峡市崤山路西段28号（开发区电子城西侧）,黄女士,0398-3117873
12,浚财磋商采购-2022-70,,http://hngp.gov.cn/henan/content?infoId=1289901&channelCode=H670202,1,1,,河南瑞创思科电子科技有限公司,浚县城镇黄河路南段路西（益民面业北邻50米）,详见附件,599400,,河南省浚县第一中学,河南省浚县城关镇黄河路48号,李保伟,15539285566,华新项目管理集团有限公司,浚县黄河路与建设路交叉口北200米路东口子窖超市3楼,李星,18803920548
13,鹤财招标采购-2022-50,2022年11月01日,http://hngp.gov.cn/henan/content?infoId=1288563&channelCode=H670202,1,1,,武汉泰乐奇信息科技有限公司,武汉市东湖新技术开发区软件园中路4号光谷软件园六期3栋3层01室,模型(详见第三章采购需求),1923600,,鹤壁职业技术学院,鹤壁市淇滨区朝歌路5号,王老师,0392-3330510,河南中鑫恒盛工程管理有限公司,郑州高新技术产业开发区长椿路东冬青街北6幢905号,邵女士,18839256777
14,洛采公开-2022-220,2022年11月01日,http://hngp.gov.cn/henan/content?infoId=1288332&channelCode=H640102,1,1,,河南国凌教育科技有限公司,河南省郑州市二七区陇海中路81号富田陇海花园1号楼东1单元40号,洛阳职业技术学院汽车整车故障诊断技术实训中心项目,966500,,洛阳职业技术学院,河南省洛阳市洛龙区伊滨区科技大道6号,周先生,15896656321,万安建设发展河南有限公司,洛阳市洛龙区经五路与洛宜路交叉口东宇大厦28楼,康女士,0379-69899369
15,濮财市直招标采购-2022-45,2022年10月31日,http://hngp.gov.cn/henan/content?infoId=1287957&channelCode=H700202,1,1,,中电信数智科技有限公司河南分公司,郑州市金水区宝瑞路 115 号河南省信息安全产业示范基地 12 号楼 01 号 1-5 层,详见招标文件,3489000,,濮阳医学高等专科学校,濮阳市华龙区卫都大街与文岩街交叉口,娄长琳,16650527775,河南四方建设管理有限公司,郑州经济技术开发区航海东路1394号1幢15层,崔国帅,18538256639
16,清采公开-2022-33,2022年10月31日,http://hngp.gov.cn/henan/content?infoId=1287539&channelCode=E000503,1,1,,濮阳市濮大商贸有限公司,河南省濮阳市市辖区濮阳市黄河路与濮上路交叉口北200路东,清丰县春晖路小学教学办公设备购置,988600,,清丰县春晖路小学,清丰县城关镇春晖路西侧文化路南侧,贾敬培,13839337333,濮阳市清丰县政府采购中心,清丰县人民路政府综合楼东南角二楼,张团杰,0393-7219107
