project_id,winning_date,winning_notice_url,order_id,winning_order_cnt,project_winning_amt,supplier_name,supplier_addr,order_name,winning_amt,cadidate_name,buyer_name,buyer_addr,buyer_contact,buyer_phone,agency_name,agency_addr,agency_contact,agency_phone,source_id,text
STBN-ZC-2022-603,2023-01-1316:41,http://www.ccgp-hubei.gov.cn/notice/202301/notice_773796965669183488.html,1,1,,武汉迪生创新科技有限公司,湖北-武汉-东湖高新区民营高科技大厦1104,数字媒体艺术实训室建设3期项目,304.965(万元),,武汉商学院,武汉经济技术开发区东风大道816号,,027-84791378,武汉盛泰百年招标有限公司,湖北省-武汉市-武昌区武昌区中北路31号办公大楼（2009-093）11层东南区,,156715850113,5,"武汉商学院数字媒体艺术实训室建设3期项目中标结果公告发布日期：2023-01-1316:41｜发布单位：武汉盛泰百年招标有限公司｜项目监管地：武汉市本级|阅读次数：一、项目编号STBN-ZC-2022-603二、采购计划备案号J22120670-0666三、项目名称数字媒体艺术实训室建设3期项目四、中标（成交）信息供应商名称：武汉迪生创新科技有限公司供应商地址：湖北-武汉-东湖高新区民营高科技大厦1104中标（成交）金额：304.965(万元)货物类名称：数字媒体艺术实训室建设3期项目品牌（如有）：惠普（重庆）有限公司/重庆、和冠科技（北京）有限公司/北京等规格型号：HPZ2TowerG9Workstation、WacomDTH-271K0F等数量：1单价：304.965万元五、评审专家名单郝荫昌,胡骞,蔡景红(采购人代表),王婷,陈永喜(组长)六、评审信息1、评审时间：2023-01-122、评审地点：武汉市武昌区中北路31号知音广场写字楼11层武汉盛泰百年招标有限公司评标室七、代理服务收费标准及金额：1、代理服务收费标准：成交服务费为中标金额的2%2、收费金额：6.0993(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜如投标当事人对中标结果有异议的，可以在本公告发布之日起七个工作日内，以书面形式向武汉盛泰百年招标有限公司提出质疑，逾期将不再受理。十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：武汉商学院地址：武汉经济技术开发区东风大道816号联系方式：027-847913782、采购代理机构信息名称：武汉盛泰百年招标有限公司地址：湖北省-武汉市-武昌区武昌区中北路31号办公大楼（2009-093）11层东南区联系方式：156715850113、项目联系方式项目联系人：胡跃电话：15671585011"
HBZXZB-2022-037,2022-12-1514:52,http://www.ccgp-hubei.gov.cn/notice/202212/notice_763260495254560768.html,1,1,,湖北长江电气有限公司,湖北-武汉-东湖高新区佛祖岭三路12号湖北长江电气有限公司,智慧研讨录播教室及新能源充电桩项目,26.8066(万元),,武汉市交通学校,武汉市东湖新技术开发区光谷大道136号,,027-86509123,湖北正信工程项目管理有限公司,湖北省-武汉市-江岸区发展大道486-488号元辰世纪1903室,,176318484803,5,"武汉市交通学校智慧研讨录播教室及新能源充电桩项目中标（成交）结果公告发布日期：2022-12-1514:52｜发布单位：湖北正信工程项目管理有限公司｜项目监管地：武汉市本级|阅读次数：一、项目编号HBZXZB-2022-037二、采购计划备案号J22108836-8263三、项目名称智慧研讨录播教室及新能源充电桩项目四、中标（成交）信息包名称：安装新能源充电桩采购项目供应商名称：湖北长江电气有限公司供应商地址：湖北-武汉-东湖高新区佛祖岭三路12号湖北长江电气有限公司中标（成交）金额：26.8066(万元)货物类名称：充电桩等品牌（如有）：特来电规格型号：交流220V7KW等数量：1单价：0.2881万元包名称：智慧研讨录播教室采购项目供应商名称：新能量科技股份有限公司供应商地址：湖北-武汉-东湖高新区光谷大道特1号中标（成交）金额：57.5(万元)货物类名称：全自动高清录播系统等品牌（如有）：新能量科技股份有限公司规格型号：按需开发数量：1单价：10.24万元五、评审专家名单肖梅芬,蔡威(采购人代表),樊敏,邬田华(组长),刘军,陈坤(采购人代表)六、评审信息1、评审时间：2022-12-142、评审地点：湖北正信工程项目管理有限公司电子评标室七、代理服务收费标准及金额：1、代理服务收费标准：中标人应参照发改价格[2015]299号文件的规定，向采购代理机构支付中标金额2.5%的中标服务费。2、收费金额：2.1076(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜/十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：武汉市交通学校地址：武汉市东湖新技术开发区光谷大道136号联系方式：027-865091232、采购代理机构信息名称：湖北正信工程项目管理有限公司地址：湖北省-武汉市-江岸区发展大道486-488号元辰世纪1903室联系方式：176318484803、项目联系方式项目联系人：王晓年电话：17631848480"
E4201000184026475001,2022-12-1517:03,http://www.ccgp-hubei.gov.cn/notice/202212/notice_c2693dc8b0bf449e91c4aa8345daa871.html,1,1,,湖北公众信息产业有限责任公司,东西湖区金银湖办事处航天路9号,黄梅一中附属滨江学校智慧校园设备采购安装项目,199.8755(万元),,黄梅县小池镇中心学校,黄梅县小池镇夜市街,,13871978282,健坤康乾工程咨询有限公司,18572531016,,185725310163,5,"黄梅一中附属滨江学校智慧校园设备采购安装项目中标(成交)结果公告发布日期：2022-12-1517:03｜发布单位：健坤康乾工程咨询有限公司｜项目监管地：黄梅县|阅读次数：一、项目编号E4201000184026475001二、采购计划备案号鄂梅采备（2022）第0317号三、项目名称黄梅一中附属滨江学校智慧校园设备采购安装项目四、中标（成交）信息供应商名称：湖北公众信息产业有限责任公司供应商地址：东西湖区金银湖办事处航天路9号中标（成交）金额：199.8755(万元)货物类名称：详见投标文件品牌（如有）：详见投标文件规格型号：详见投标文件数量：详见投标文件单价：详见投标文件五、评审专家名单柯国顺,汪烈华,王玉霞,袁飞鸿,黄习六、评审信息1、评审时间：2022-12-142、评审地点：湖北小池滨江新区公共资源交易中心三楼评标室七、代理服务收费标准及金额：1、代理服务收费标准：代理服务费按照2011年发改委534号文标准计算收取，由成交人承担，并于领取《成交通知书》前一次性付清。2、收费金额：2.5986(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：黄梅县小池镇中心学校地址：黄梅县小池镇夜市街联系方式：138719782822、采购代理机构信息名称：健坤康乾工程咨询有限公司地址：18572531016联系方式：185725310163、项目联系方式项目联系人：商茜电话：18572531016"
SZZX-202212ZC-110001,2022-12-1611:50,http://www.ccgp-hubei.gov.cn/notice/202212/notice_6c31249f2270463fac07644f36152da6.html,1,1,,江西腾科实业有限公司,江西省抚州市南城县株良镇路东村,咸宁职业技术学院文华楼教室桌椅采购,91.216(万元),,咸宁职业技术学院,湖北省咸宁市咸宁大道118号,,18671589932,咸宁市政府采购中心,咸宁市市民之家4楼,,0715-81263783,5,"咸宁职业技术学院文华楼教室桌椅采购中标(成交)结果公告发布日期：2022-12-1611:50｜发布单位：咸宁市政府采购中心｜项目监管地：咸宁市本级|阅读次数：一、项目编号SZZX-202212ZC-110001二、采购计划备案号421200-2022-00670三、项目名称咸宁职业技术学院文华楼教室桌椅采购四、中标（成交）信息供应商名称：江西腾科实业有限公司供应商地址：江西省抚州市南城县株良镇路东村中标（成交）金额：91.216(万元)货物类名称：咸宁职业技术学院文华楼教室桌椅采购品牌（如有）：江西宏源欣教育装备集团有限公司/中国/抚州规格型号：HXY-ZY065数量：1单价：91.216万元五、评审专家名单徐克应,杨晓红,熊丹六、评审信息1、评审时间：2022-12-122、评审地点：咸宁市市民之家4楼七、代理服务收费标准及金额：1、代理服务收费标准：无2、收费金额：0(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：咸宁职业技术学院地址：湖北省咸宁市咸宁大道118号联系方式：186715899322、采购代理机构信息名称：咸宁市政府采购中心地址：咸宁市市民之家4楼联系方式：0715-81263783、项目联系方式项目联系人：付伟电话：0715-8126378"
XZJC-20221110-HWCS01,2022-12-1912:55,http://www.ccgp-hubei.gov.cn/notice/202212/notice_764680820022353920.html,1,1,,武汉佳发安泰科技有限公司,洪山区珞狮北路80号瑞景华庭22层2203号,教室电子白板更新项目,149.7(万元),,武汉市新洲区第一中学,武汉市新洲区邾城街188号,,13797082802,武汉市新洲区政府采购中心,湖北省-武汉市-新洲区武汉市新洲区邾城街龙腾大道祥和世纪城1栋新洲区政务服务中心,,027-893585873,5,武汉市新洲区第一中学教室电子白板更新项目中标（成交）结果公告发布日期：2022-12-1912:55｜发布单位：武汉市公共资源交易中心（武汉市政府采购中心）新洲区分中心｜项目监管地：新洲区|阅读次数：一、项目编号XZJC-20221110-HWCS01二、采购计划备案号J22101774-2238三、项目名称教室电子白板更新项目四、中标（成交）信息供应商名称：武汉佳发安泰科技有限公司供应商地址：洪山区珞狮北路80号瑞景华庭22层2203号中标（成交）金额：149.7(万元)货物类名称：教室电子白板更新项目品牌（如有）：希沃规格型号：希沃MV85FED数量：63单价：1.88万元五、评审专家名单汪诗伟(包1)、朱跃美(包1)、孙唯衡(包1组长)六、评审信息1、评审时间：2022-12-082、评审地点：武汉市新洲区邾城街龙腾大道祥和世纪城1栋（政务服务大厅）2楼1号开标室七、代理服务收费标准及金额：1、代理服务收费标准：无2、收费金额：0(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜本项目无纸质版中标通知书，中标供应商登录武汉市新洲区政府采购电子交易系统下载电子中标通知书联系采购人签合同。十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：武汉市新洲区第一中学地址：武汉市新洲区邾城街188号联系方式：137970828022、采购代理机构信息名称：武汉市新洲区政府采购中心地址：湖北省-武汉市-新洲区武汉市新洲区邾城街龙腾大道祥和世纪城1栋新洲区政务服务中心联系方式：027-893585873、项目联系方式项目联系人：詹工电话：027-89358587
ZSHJ-WHS-HW-2022-466（2）,2022-12-1915:18,http://www.ccgp-hubei.gov.cn/notice/202212/notice_43ffe2841e9f462abdc93fb7475dff16.html,1,1,,武汉菲奥达物联科技有限公司,武汉市东湖新技术开发区软件园东路1号光谷展示中心扩建项目D座栋1层114-125区域,网络安全攻防实战与竞技实训室和移动互联应用技术实训室二期建设项目,69.79(万元),,武汉软件工程职业学院,武汉市东湖新技术开发区光谷大道117号,,13237105481,湖北中盛汇金项目管理有限公司,武汉市江岸区胜利街128号新源大厦4楼,,027-828229838282229682822091828233793,5,武汉软件工程职业学院网络安全攻防实战与竞技实训室和移动互联应用技术实训室二期建设项目中标（成交）结果公告发布日期：2022-12-1915:18｜发布单位：湖北中盛汇金项目管理有限公司｜项目监管地：武汉市本级|阅读次数：一、项目编号ZSHJ-WHS-HW-2022-466（2）二、采购计划备案号J22119285-8621三、项目名称网络安全攻防实战与竞技实训室和移动互联应用技术实训室二期建设项目四、中标（成交）信息供应商名称：武汉菲奥达物联科技有限公司供应商地址：武汉市东湖新技术开发区软件园东路1号光谷展示中心扩建项目D座栋1层114-125区域中标（成交）金额：69.79(万元)货物类名称：养老社区相关项目品牌（如有）：武汉菲奥达物联科技有限公司规格型号：定制数量：1批单价：6.988万元五、评审专家名单张长乐陈贤武龚丽六、评审信息1、评审时间：2022-12-122、评审地点：湖北中盛汇金项目管理有限公司会议室七、代理服务收费标准及金额：1、代理服务收费标准：按原计价格[2002]1980号文中的收费标准的80%计取，2、收费金额：0.8374(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜详见本公告附件磋商文件十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：武汉软件工程职业学院地址：武汉市东湖新技术开发区光谷大道117号联系方式：132371054812、采购代理机构信息名称：湖北中盛汇金项目管理有限公司地址：武汉市江岸区胜利街128号新源大厦4楼联系方式：027-828229838282229682822091828233793、项目联系方式项目联系人：姚晓天王蓓周喆荣唯武金凤电话：027-82822983828222968282209182823379
YMYC【2022】1248号,2022-12-2011:10,http://www.ccgp-hubei.gov.cn/notice/202212/notice_0e3ae39b3b2e4365afa125da6eb319a8.html,1,1,,北京欧倍尔软件技术开发有限公司,北京市海淀区清河永泰园甲1号综合楼5层516号,湖北三峡职业技术学院化工安全生产与环保虚拟仿真实训室采购项目-专用设备,106(万元),,湖北三峡职业技术学院,宜昌市体育场路31号,,18608608096,永明项目管理有限公司,宜昌市黄河路住邦科技园A区13栋2单元5楼,,0717-69411643,5,"湖北三峡职业技术学院化工安全生产与环保虚拟仿真实训室采购项目-专用设备中标(成交)结果公告发布日期：2022-12-2011:10｜发布单位：永明项目管理有限公司｜项目监管地：宜昌市本级|阅读次数：一、项目编号YMYC【2022】1248号二、采购计划备案号420500-2022-00580三、项目名称湖北三峡职业技术学院化工安全生产与环保虚拟仿真实训室采购项目-专用设备四、中标（成交）信息供应商名称：北京欧倍尔软件技术开发有限公司供应商地址：北京市海淀区清河永泰园甲1号综合楼5层516号中标（成交）金额：106(万元)货物类名称：湖北三峡职业技术学院化工安全生产与环保虚拟仿真实训室采购项目-专用设备品牌（如有）：详见投标文件规格型号：详见投标文件数量：详见投标文件单价：详见投标文件五、评审专家名单徐廷东,黄廷烈,任之光六、评审信息1、评审时间：2022-12-192、评审地点：永明项目管理有限公司会议室（宜昌市黄河路住邦科技园A区13栋2单元5楼）七、代理服务收费标准及金额：1、代理服务收费标准：无2、收费金额：0(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：湖北三峡职业技术学院地址：宜昌市体育场路31号联系方式：186086080962、采购代理机构信息名称：永明项目管理有限公司地址：宜昌市黄河路住邦科技园A区13栋2单元5楼联系方式：0717-69411643、项目联系方式项目联系人：彭小宇电话：0717-6941164"
XFX-202212-FS009(2),2022-12-2012:05,http://www.ccgp-hubei.gov.cn/notice/202212/notice_765030315402764288.html,1,1,,湖南奥联信息技术有限公司,湖南省长沙市天心区碧云路60号鼎泰坤苑第14栋2单元1104房,咸丰县中等职业技术学校幼儿保育专业实训室建设（二次）,67.78(万元),,咸丰县中等职业技术学校,咸丰县杨官大道181号,,18771233102,湖北中楚建设工程咨询有限公司,湖北省-武汉市-江汉区发展大道176号兴城大厦A座10F,,0718-68280823,5,咸丰县中等职业技术学校咸丰县中等职业技术学校幼儿保育专业实训室建设（二次）中标（成交）结果公告发布日期：2022-12-2012:05｜发布单位：湖北中楚建设工程咨询有限公司｜项目监管地：咸丰县|阅读次数：一、项目编号XFX-202212-FS009(2)二、采购计划备案号422826-2022-03616三、项目名称咸丰县中等职业技术学校幼儿保育专业实训室建设（二次）四、中标（成交）信息供应商名称：湖南奥联信息技术有限公司供应商地址：湖南省长沙市天心区碧云路60号鼎泰坤苑第14栋2单元1104房中标（成交）金额：67.78(万元)货物类名称：咸丰县中等职业技术学校幼儿保育专业实训室建设品牌（如有）：详见响应文件分项报价表规格型号：详见响应文件分项报价表数量：1套单价：67.78万元五、评审专家名单张兴平(包1)、皮道文(包1采购人代表)、罗方祥(包1组长)六、评审信息1、评审时间：2022-12-202、评审地点：咸丰县政府采购电子交易系统（http://47.111.115.168:10010/#/index）七、代理服务收费标准及金额：1、代理服务收费标准：按国家计委计价格【2002】1980号标准2、收费金额：1(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜本项目采购代理服务费按国家计委计价格【2002】1980号标准，本项目采购代理服务费共计人民币壹万元整（10000.00元）由成交供应支付。十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：咸丰县中等职业技术学校地址：咸丰县杨官大道181号联系方式：187712331022、采购代理机构信息名称：湖北中楚建设工程咨询有限公司地址：湖北省-武汉市-江汉区发展大道176号兴城大厦A座10F联系方式：0718-68280823、项目联系方式项目联系人：杨女士电话：0718-6828082
CYZX-202212ZC-143001,2022-12-2111:17,http://www.ccgp-hubei.gov.cn/notice/202212/notice_4001246a7f6342e5a5fb006ab900887a.html,1,1,,广州轩宇教育科技发展有限公司,广州市白云区南岭岗埔路三街7号206号,崇阳职业技术学校新能源汽车实训室设备采购项目,35.8(万元),,湖北崇阳职业技术学校,崇阳县隽北大道235号,,19971278388,湖北佳宇工程项目管理有限公司,崇阳县四季花城南大门旁,,152727075693,5,"湖北崇阳职业技术学校崇阳职业技术学校新能源汽车实训室设备采购项目中标(成交)结果公告发布日期：2022-12-2111:17｜发布单位：湖北佳宇工程项目管理有限公司｜项目监管地：崇阳县|阅读次数：一、项目编号CYZX-202212ZC-143001二、采购计划备案号421223-2022-00054三、项目名称崇阳职业技术学校新能源汽车实训室设备采购项目四、中标（成交）信息供应商名称：广州轩宇教育科技发展有限公司供应商地址：广州市白云区南岭岗埔路三街7号206号中标（成交）金额：35.8(万元)货物类名称：崇阳职业技术学校新能源汽车实训室设备采购项目品牌（如有）：具体详见竞争性谈判文件规格型号：具体详见竞争性谈判文件数量：/单价：/五、评审专家名单厉阳春,龙鸣,庞青利六、评审信息1、评审时间：2022-12-202、评审地点：崇阳县公共资源交易中心评标二室七、代理服务收费标准及金额：1、代理服务收费标准：与业主协商一致2、收费金额：1(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜本项目成交结果公告1个工作日，有关供应商如有异议，可在本公告发布之日起7个工作日内，以书面形式向湖北佳宇工程项目管理有限公司提出质疑，质疑时请提交书面质疑函一份（法人代表签字、加盖单位公章），并附相关证据材料（列明事实，依法举证），逾期将不再受理。十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：湖北崇阳职业技术学校地址：崇阳县隽北大道235号联系方式：199712783882、采购代理机构信息名称：湖北佳宇工程项目管理有限公司地址：崇阳县四季花城南大门旁联系方式：152727075693、项目联系方式项目联系人：刘先生电话：19971278388"
HXCG-2022-120801,2022-12-2111:34,http://www.ccgp-hubei.gov.cn/notice/202212/notice_fe94ad036c6d4c50843c1d09328513cf.html,1,1,,湖北博盛数字教育服务有限公司,武汉市东湖开发区华师园路5号,文化旅游专业群融合实训室采购项目,100.6(万元),,湖北三峡职业技术学院,湖北省宜昌市体育场路31号,,15907208858,华新项目管理集团有限公司,宜昌市伍家岗区中南路37号东辰二号1号门2号楼101,,158715475813,5,"湖北三峡职业技术学院文化旅游专业群融合实训室采购项目中标(成交)结果公告发布日期：2022-12-2111:34｜发布单位：华新项目管理集团有限公司｜项目监管地：宜昌市本级|阅读次数：一、项目编号HXCG-2022-120801二、采购计划备案号420500-2022-00616三、项目名称文化旅游专业群融合实训室采购项目四、中标（成交）信息供应商名称：湖北博盛数字教育服务有限公司供应商地址：武汉市东湖开发区华师园路5号中标（成交）金额：100.6(万元)货物类名称：文化旅游专业群融合实训室采购项目品牌（如有）：详见响应文件规格型号：详见响应文件数量：详见响应文件与磋商文件单价：详见响应文件五、评审专家名单杨鹏,唐开平,赵倩倩六、评审信息1、评审时间：2022-12-212、评审地点：宜昌市伍家岗区中南路37号东辰二号1号门2号楼101七、代理服务收费标准及金额：1、代理服务收费标准：本项目招标采购代理服务费依据原计价格[2002]1980号文和发改价格[2011]534号文件规定标准的60%(6折)计取2、收费金额：0.92(万元)八、公告期限自本公告发布之日起1个工作日。九、其他补充事宜十、凡对本次公告内容提出询问，请按以下方式联系1、采购人信息名称：湖北三峡职业技术学院地址：湖北省宜昌市体育场路31号联系方式：159072088582、采购代理机构信息名称：华新项目管理集团有限公司地址：宜昌市伍家岗区中南路37号东辰二号1号门2号楼101联系方式：158715475813、项目联系方式项目联系人：宋雪峰电话：15871547581"
