,标题,原文链接
247,郑州市电子信息工程学校电子电路装调实训室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1263755&channelCode=H610102
250,郑州市管城回族区港湾路小学模块化教室项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1261934&channelCode=D280202
251,渑池县第二高级中学2022年改善办学条件智慧教学设备购置项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1262632&channelCode=H730202
253,焦作师范高等专科学校电子商务实训中心改造项目-（一包）（二次）中标公告,http://www.hngp.gov.cn/henan/content?infoId=1262323&channelCode=H690202
254,濮阳医学高等专科学校5G智慧教室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1260819&channelCode=H700202
256,辉县市实验学校课桌凳采购项目 结果公示,http://www.hngp.gov.cn/henan/content?infoId=1260516&channelCode=H680204
259,河南工业大学数控实习理实一体化教室建设项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1259199&channelCode=H600102
260,郑州信息科技职业学院智能工厂虚拟实训中心项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1256413&channelCode=H600102
261,驻马店市第二初级中学北区功能教室设备采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1256966&channelCode=H780602
262,郑州市管城回族区回民第一小学管城回族区教育局所属部分学校计算机教室项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1257595&channelCode=D280202
264,南阳市第十二完全学校2022年秋期教育教学装备采购项目第四、十四标段（二次）-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1256246&channelCode=H740602
265,郑州市管城回族区回民第一小学管城回族区教育局所属部分学校录播教室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1255856&channelCode=D280202
266,南阳师范学院化工制药拼装式桌面工厂实训室项目竞争性磋商采购结果公示,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1255092&channelCode=H740604
267,郑州信息科技职业学院智能财金综合实训中心项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1255648&channelCode=H600102
269,郑州市管城回族区青山路小学新建云计算机教室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1254431&channelCode=D280202
270,南阳理工学院影视编辑与合成实训室建设项目第一标段中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1254220&channelCode=H740602
272,濮阳医学高等专科学校教室多媒体升级改造项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1252245&channelCode=H700202
274,郑州信息科技职业学院智能检测技术实训室项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1251281&channelCode=H600102
275,河南建筑职业技术学院BIM工程技术应用中心（一期）项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1249865&channelCode=H600102
276,郑州市管城回族区回民第一小学管城回族区教育局所属部分学校班班通项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1248506&channelCode=D280202
277,南阳理工学院2021年智慧教室建设项目（三次）中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1248410&channelCode=H740602
279,郑州旅游职业学院旅游文创实训中心项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1247804&channelCode=H610102
280,宠物医疗专业实训室提升项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1247720&channelCode=H640104
281,河南职业技术学院智能化制造技术虚拟仿真实训基地项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1247252&channelCode=H600102
282,建安政采公字〔2022〕23号许昌市建安区第一高级中学建安区一高物业服务项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1247744&channelCode=H710202
283,商丘市第二高级中学护眼灯采购安装项目结果公告,http://shangqiu.hngp.gov.cn/shangqiu/content?infoId=1246507&channelCode=H750604
287,河南医学高等专科学校物业管理服务项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1246178&channelCode=H600102
289,新乡市第十一中学多功能报告厅升级改造项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1244983&channelCode=H680204
290,郑州市第一〇七高级中学开办费-计算机教室云桌面终端（224点位）项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1244862&channelCode=H610102
291,新乡市红旗区洪门镇中心学校(新乡市红旗区洪门镇初级中学）新乡市红旗区洪门镇公村小学教学设备采购项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1244573&channelCode=H680202
293,河南科技大学“中国道路”虚拟仿真平台项目和高性能计算机项目采购项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1243871&channelCode=H600102
294,三门峡职业技术学院智能制造学院电工电子实训中心提升改造项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1243193&channelCode=H730202
300,河南省新闻出版学校2022年度学生教材采购项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1242092&channelCode=H600102
301,新乡市牧野区西干道小学采购录播教室升级、网络广播及计算机教室项目结果公告,http://www.hngp.gov.cn/henan/content?infoId=1242343&channelCode=H680202
302,商丘师范学院通用电子仪器与自动化控制实验室建设项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1241887&channelCode=H600102
303,新乡学院应用光学及激光原理教学实验室项目（二次）-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1241708&channelCode=H680202
304,郑州市第四十四高级中学2022年开办费——报告厅设设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1241465&channelCode=H610102
305,郑州市第四十四高级中学2022年开办费——礼堂设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1241466&channelCode=H610102
306,郑州市第四十四高级中学2022年开办费——会议室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1241077&channelCode=H610102
307,河南林业职业学院智慧党建云平台项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1241426&channelCode=H600102
308,郑州铁路职业技术学院大学生科技创新中心二期项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1241497&channelCode=H600102
309,洛阳职业技术学院宠物医疗技术专业教学资源库建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1240730&channelCode=H640102
310,洛阳职业技术学院网络技能提升实训基地采购项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1240641&channelCode=H640102
311,新乡市凤泉区南张门小学附属幼儿园厨房、教室厕所改造项目工程结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1239662&channelCode=H680204
315,南乐县仓颉小学电子设备采购项目-结果公告,http://www.hngp.gov.cn/henan/content?infoId=1237811&channelCode=E030503
316,河南艺术职业学院-图书馆智能化建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1238276&channelCode=H600102
321,河南省南阳工业学校省“高水平专业群”建设（三期）项目-中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1236487&channelCode=H740602
322,河南工学院汽车动力系统测试实验室项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1236899&channelCode=H600102
325,郑州市第一〇三高级中学开办费-校园广播及一卡通系统项目中标结果公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1235498&channelCode=H610102
326,黄淮学院2022005—多媒体教室改造（货物）-中标公告,http://zhumadian.hngp.gov.cn/zhumadian/content?infoId=1234708&channelCode=H780602
327,洛阳市孟津区第一高级中学新区高中教育教学设备采购项目（第一批）第五标段二次中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1234653&channelCode=D690503
335,郑州市第一〇三高级中学开办费-化学创新实验室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234514&channelCode=H610102
336,郑州市第一〇三高级中学开办费-校园文化建设（一期）项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234512&channelCode=H610102
337,郑州市第一〇三高级中学开办费-生物创新竞赛实验室项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234511&channelCode=H610102
338,郑州市郑东新区永昌幼儿园玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1234427&channelCode=D360202
339,安阳幼儿师范高等专科学校校园高速网络提升改造项目（二次）中标公告,http://anyang.hngp.gov.cn/anyang/content?infoId=1234105&channelCode=H660202
340,【平公资采2022856号】河南质量工程职业学院2022-2025学年教材采购中标公告,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1233502&channelCode=H650204
344,河南科技学院新东校区智慧教室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1233302&channelCode=H600102
351,河南财经政法大学2022年灾后受损中文图书购置项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1232360&channelCode=H600102
356,柳青路小学连廊及阅读角项目结果公告,http://xinxiang.hngp.gov.cn/xinxiang/content?infoId=1230703&channelCode=H680204
359,河南警察学院侦查学模拟侦查实验中心(一期)建设项目(二次)中标公告,http://www.hngp.gov.cn/henan/content?infoId=1230887&channelCode=H600102
362,安阳师范学院大学生创新实践基地项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1230532&channelCode=H600102
363,许昌职业技术学院数码钢琴实训室项目 中标结果公告,http://www.hngp.gov.cn/henan/content?infoId=1231409&channelCode=H710204
366,郑州旅游职业学院智慧旅游虚拟仿真实验实训中心项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1229873&channelCode=H610102
368,淇县职业中等专业学校中职双高2022年度建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1229879&channelCode=H670202
370,郑州信息科技职业学院河南在线教育课程制作基地展示与审核环境建设项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1229975&channelCode=H600102
371,郑州铁路职业技术学院高职专业教学资源库建设（双高校建设项目）项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1229545&channelCode=H600102
372,南阳师范学院综合楼及博睿楼智慧教室建设项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1230147&channelCode=H600102
373,郑州旅游职业学院跨境电商产教融合实训基地项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1228389&channelCode=H610102
375,河南建筑职业技术学院工程管理系专业课程体系数字化升级改造项目（二次） 结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1228127&channelCode=H600102
380,安阳师范学院智慧教室建设项目多媒体设备更新部分项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1227763&channelCode=H600102
382,洛阳职业技术学院省级老服专业资源库建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1226947&channelCode=H640102
385,舞阳县第一高级中学舞阳一高新建宿舍办公楼配套设备采购项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1227095&channelCode=H720202
386,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年物理实验室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1225661&channelCode=H610102
387,郑州师范学院2022年投资学专业实践平台项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1225565&channelCode=H610102
388,新安县职业高级中学新安职高教学平台与实训软件建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1225476&channelCode=D760502
393,郑州市郑东新区龙源第一幼儿园室内外玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224717&channelCode=D360202
394,郑州市郑东新区象湖第一幼儿园室内外玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224721&channelCode=D360202
395,郑州市郑东新区白沙中心幼儿园室内外玩教具家具项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224719&channelCode=D360202
396,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年生物实验室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224636&channelCode=H610102
397,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年化学实验室设备项目-中标公告,http://zhengzhou.hngp.gov.cn/zhengzhou/content?infoId=1224619&channelCode=H610102
398,洛阳职业技术学院伊滨校区物业外包服务项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1223374&channelCode=H640102
399,退役民航客机A320-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1224225&channelCode=H660202
402,河南信息统计职业学院白沙校区教学楼功能提升与改造项目-中标公告,http://www.hngp.gov.cn/henan/content?infoId=1224561&channelCode=H600102
403,商丘师范学院师范生职业技能实训中心建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1224486&channelCode=H600102
407,南阳市第十五小学校七一路校区学生微机室装备项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1221946&channelCode=H740602
408,【平公资采2022763号】河南质量工程职业学院致知楼教室桌椅更换项目结果公示,http://pingdingshan.hngp.gov.cn/pingdingshan/content?infoId=1221376&channelCode=H650202
409,河南工学院云网络语音室项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1221380&channelCode=H600102
411,南阳市第十一完全学校采购设备一批项目中标公告,http://nanyang.hngp.gov.cn/nanyang/content?infoId=1220391&channelCode=H740602
414,三门峡职业技术学院建筑工程学院建筑结构信息化实验实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1219561&channelCode=H730202
416,南阳市第十五完全学校采购学生用床、课桌凳一批项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1220386&channelCode=H740602
418,商丘师范学院文化旅游综合教学实验中心项目中标公告,http://www.hngp.gov.cn/henan/content?infoId=1218436&channelCode=H600102
421,安阳师范学院艺术实验室项目中标结果公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1218916&channelCode=H600102
428,社旗县中等职业学校2021-2022学年“双高”建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1215514&channelCode=H740602
430,南阳师范学院5G虚拟仿真实训室项目竞争性磋商采购结果公示,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1215270&channelCode=H740604
431,河南信息统计职业学院智能化云网络安全攻防实训中心项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1215072&channelCode=H600102
435,洛阳理工学院2022-2023学年第一学期教材采购项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1214083&channelCode=H600104
436,郑州市第五十六高级中学（郑州市郑开示范高级中学）2022年学术报告厅和合班教室项目中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1213998&channelCode=H610102
437,商丘师范学院物理实验技能实训室建设项目-中标公告,http://luoyang.hngp.gov.cn/luoyang/content?infoId=1213825&channelCode=H600102
