,标题,项目编号,原文链接,govurl,,,,,,,,,,,,,,,
1,中国劳动关系学院北京校区闻道楼多媒体教室教学设备集中控制项目中标公告,GXTC-A1-22631325,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230120_19400687.htm,1,,,,,,,,,,,,,,,
2,中国劳动关系学院北京校区闻道楼多媒体教室教学设备集中控制项目中标公告,GXTC-A1-22631325,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230120_19400687.htm,1,,,,,,,,,,,,,,,
3,北京市密云区古北口中学智慧校园建设项目中标公告,ZCGH-ZB-202212022,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230118_19391073.htm,1,,,,,,,,,,,,,,,
4,北京市密云区古北口中学智慧校园建设项目中标公告,ZCGH-ZB-202212022,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230118_19391073.htm,1,,,,,,,,,,,,,,,
7,[公开] 首都医科大学中控值机服务外包项目中标公告,11000022210200026092-XM001,http://www.ccgp-beijing.gov.cn/xxgg/sjzfcggg/sjzbjggg/t20230106_1478357.html,1,,,,,,,,,,,,,,,
8,北京师范大学珠海校区教室课桌椅采购项目中标公告,ZHWZ2022-488HW,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230105_19345328.htm,1,,,,,,,,,,,,,,,
9,北京师范大学珠海校区教室课桌椅采购项目中标公告,ZHWZ2022-488HW,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230105_19345328.htm,1,,,,,,,,,,,,,,,
10,中国地质大学(北京）保卫处校园消防中控值守项目中标公告,BIECC-22ZB1250,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230104_19339937.htm,1,,,,,,,,,,,,,,,
11,中国地质大学(北京）保卫处校园消防中控值守项目中标公告,BIECC-22ZB1250,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202301/t20230104_19339937.htm,1,,,,,,,,,,,,,,,
12,北京市密云区古北口镇中心小学智慧校园建设项目中标公告,ZCGH-ZB-202212009,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202301/t20230104_19338645.htm,1,,,,,,,,,,,,,,,
13,改善办学保障条件—北京信息科技大学新校区三组团教室智慧教学应用系统建设项目（新竣工楼配套）其他家具用具采购项目中标公告,11000022210200024818-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221230_19327306.htm,1,,,,,,,,,,,,,,,
17,对外经济贸易大学博学楼智慧教室改造项目中标公告,BMCC-ZC22-0690,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221226_19299853.htm,1,,,,,,,,,,,,,,,
18,中国地质大学（北京）外国语学院教室更新改造项目中标公告,0873-2201HW1L1065,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221226_19296634.htm,1,,,,,,,,,,,,,,,
20,对外经济贸易大学智慧教室设施更新项目中标公告,0686-2211CJ090980Z,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221223_19287720.htm,1,,,,,,,,,,,,,,,
21,对外经济贸易大学知行楼特色智慧教室设备项目中标公告,0686-2211CJ090981Z,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221223_19287684.htm,1,,,,,,,,,,,,,,,
22,中国人民公安大学2022年智慧教室建设项目中标公告,2022-GADX-HW-236,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221221_19274355.htm,1,,,,,,,,,,,,,,,
23,中国人民公安大学2022年智慧教室建设项目中标公告,2022-GADX-HW-236,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221221_19274355.htm,1,,,,,,,,,,,,,,,
24,清华大学教学区教室保洁、值班、摆车服务中标公告,清后招2022096,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221220_19262578.htm,1,,,,,,,,,,,,,,,
25,北京大学智慧校园基础设施建设项目中标公告,BMCC-ZC22-0711,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221218_19251201.htm,1,,,,,,,,,,,,,,,
26,北京林业大学多媒体教室常态化录播采购项目中标公告,北林招（服）[ZB2022]100号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221217_19249421.htm,1,,,,,,,,,,,,,,,
27,北京林业大学多媒体教室常态化录播采购项目中标公告,北林招（服）[ZB2022]100号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221217_19249421.htm,1,,,,,,,,,,,,,,,
28,北京航空航天大学教务处北京航空航天大学两校区智慧教室配套桌椅购置项目中标公告,CTIETC-HWZB-2211072,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248763.htm,1,,,,,,,,,,,,,,,
29,北京航空航天大学教务处北京航空航天大学两校区智慧教室配套桌椅购置项目中标公告,CTIETC-HWZB-2211072,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248763.htm,1,,,,,,,,,,,,,,,
30,北京航空航天大学沙河校区新建智慧教室配套设备购置项目中标公告,CTIETC-HWZB-2211073,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248758.htm,1,,,,,,,,,,,,,,,
31,北京航空航天大学两校区智慧教室配套设备购置项目中标公告,CTIETC-HWZB-2211071,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248754.htm,1,,,,,,,,,,,,,,,
32,北京航空航天大学两校区智慧教室配套设备购置项目中标公告,CTIETC-HWZB-2211071,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248754.htm,1,,,,,,,,,,,,,,,
33,北京科技大学逸夫楼教室桌椅维修更换中标公告,BMCC-ZC22-0742,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248478.htm,1,,,,,,,,,,,,,,,
34,北京科技大学逸夫楼教室桌椅维修更换中标公告,BMCC-ZC22-0742,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221216_19248478.htm,1,,,,,,,,,,,,,,,
35,北京林业大学智慧教室改造采购项目中标公告,北林招（货）[ZB2022]058号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221215_19239502.htm,1,,,,,,,,,,,,,,,
36,北京林业大学智慧教室改造采购项目中标公告,北林招（货）[ZB2022]058号,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221215_19239502.htm,1,,,,,,,,,,,,,,,
37,海淀区教师进修学校新校区智慧校园二期建设项目中标公告,11010822210200007488-XM001,http://www.ccgp.gov.cn/cggg/dfgg/zbgg/202212/t20221215_19236325.htm,1,,,,,,,,,,,,,,,
39,中国人民大学通州新校区智慧教室设备及配套设施采购项目中标公告,XHTC-HW-2022-1507,http://www.ccgp.gov.cn/cggg/zygg/zbgg/202212/t20221213_19222210.htm,1,,,,,,,,,,,,,,,
