,跟进人,completed (db1数据输入完成）,,exact_matched,查询关键词,地区,客户类型,采购人名称,采购项目联系人,采购项目联系人联系方式,招标时间,中标时间,招标代理名称,项目名称,产品,最高限价,合同编号,供应商联系方式,品牌,参数,单价,网站链接,中标金额,中标单位,附件
,,,324,Y,教室,浙江,职教,浙江警官职业学院,王钧,0571-86918765,8/18/2022,9/7/2022,浙江省国际技术设备招标有限公司,浙江警官职业学院学院多媒体教室集控系统升级改造,学院多媒体教室集控系统升级改造,350000,11N47117023320221601,13362225366,得实,DS-NET2K10IP-X等，详见附件,343800,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8942241,投标报价:343800(元),杭州威通科技有限公司,"https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/339900/1000120308/20229/20bf94fa-b0f1-4549-9aab-7f49485352f9
https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/339900/1000120308/20229/013afa9e-db92-440f-b69e-5341be3148f5"
,,,319,Y,教室,青田县,普教,青田县华侨中学,洪飞华,13757815981,8/26/2022,9/6/2022,浙江惠同建设工程管理有限公司,普通教室新型教学空间项目,普通教室新型教学空间项目,600000,11N47045184220221401,15968404575,详见响应文件,详见响应文件,590000,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8938505,最终报价:590000(元),浙江必简科技有限公司,
,,,312,Y,教室,建德市,其他,建德市教育局,李斌,0571-64719134,8/11/2022,9/2/2022,杭州市公共资源交易中心建德分中心,建德市中小学录播教室设备采购项目,建德市中小学录播教室设备采购一批。,474324,11N73923197420221801,18006690830,凡龙和德歌等，,VL4770JP 和VL4770JP 等。,448000,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8931866,报价:448000.00(元),建德市万鹏电子科技有限公司,"https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1023FP/330182/1000506770/20228/fe846dc5-226d-4027-877d-73fa4ad635f0
https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/330182/1000506770/20229/291a8668-5768-476e-a740-d21d1ade0aa3"
,,,313,Y,教室,上虞区,普教,浙江省上虞中学,应卫良,0575-82219708,8/29/2022,9/2/2022,浙江宇康工程管理咨询有限公司,上虞中学历史学科教室设备采购项目,上虞中学历史学科教室设备采购项目,382600,11N47117100920225001,19857262296,按响应文件执行,按响应文件执行,381430,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8933157,报价:381430.00(元),绍兴方诺教育设备有限公司,
,,,314,Y,教室,淳安县,其他,淳安县教育局,王友权,13588247619,8/12/2022,9/2/2022,东方经纬项目管理有限公司,2022年第三小学智能创客教室建设采购项目,2022年第三小学智能创客教室建设采购项目,360000,"11N79314809620221201,11N79314809620221002","0577-62633505,15821958423",详见主要标的参数清单,详见主要标的参数清单,358500,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8933355,投标报价:358500.00(元),杭州古德微机器人有限公司,"https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/330102/10008473003/20229/8e8864f0-f07e-40a8-8395-a5c684bb1dc8
https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/330102/10008473003/20229/976c741b-c8c8-47f0-a4de-8655047b20aa
https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1023FP/330102/10008473003/20228/c4ad4fa8-0b6c-4be9-82c9-582128e9b820
https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/330102/10008473003/20229/e1f44e9a-d824-4d13-beee-9a15a12ea230
https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/330102/10008473003/20229/2bc9ec82-90a7-418d-bdc7-907f2ed62229"
,,,315,Y,教室,浙江,高教,浙江师范大学,谢老师,0579-82282070,8/11/2022,9/2/2022,浙江欣成工程咨询有限公司,浙江师范大学附属中学信息技术学科专业教室和人工智能教室等设备项目,浙江师范大学附属中学信息技术学科专业教室和人工智能教室等相关设备采购项目,1730180,11N47000621220228601,0571-88211664,详见招标文件第二章《采购需求》,详见招标文件第二章《采购需求》,1729997,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8933389,报价:1729997.00(元),杭州纳茵特科技有限公司,
,,,316,Y,教室,龙游县,普教,龙游县塔石小学,超级机构管理员,0570-7031385,8/29/2022,9/2/2022,衢州市公共资源交易龙游县分中心,龙游县塔石小学多功能教室改造及新型教学空间,塔石小学多功能教室改造,"200000,200000",11N47012223X20228201,13777494035,详见响应文件,详见响应文件,198922,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8933430,报价:198922(元),龙游丰贝电子科技有限公司,
,,,310,Y,教室,宁波市,普教,浙江大学宁波“五位一体”校区教育发展中心,郑老师,0574-88229887,8/11/2022,9/1/2022,宁波中基国际招标有限公司,浙江大学宁波“五位一体”校区科研大楼智慧教室建设项目,"学生智能摄像 机,教师摄像机,录播主机",2800000,11N12330100420225801,0571-85025821,"科达,科达,科达","IPC7202,IPC7201","11000,12000,27000",https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8930807,,浙江新学友信息技术有限公司,https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1023FP/330212/100032901/20228/3a195452-c14e-4319-937a-9cc6d2aecbd8
,,,368,Y,教室,象山县,其他,象山县大目湾新城学校,朱老师,0574-65787789,8/10/2022,9/1/2022,浙江中创招投标有限公司,象山县大目湾新城学校AI书法教室及其他专用教室设施设备项目,AI书法教室及其他专用教室设施设备,2896000,11N47237023720224401,0571-87299655,上海、艾桠等,V1.0 等,2868000,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8929247,报价:2868000.00(元),上海珀玑教育科技有限公司,"https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1023FP/330205/1000651996/20228/0728ea48-4abd-4a19-b137-36ce85f0797e
https://zcy-gov-open-doc.oss-cn-north-2-gov-1.aliyuncs.com/1024FPA/330205/1000651996/20229/ef2f82f6-4698-4c0a-bf81-ce119c07c1b4"
,,,369,Y,教室,桐乡市,普教,桐乡市老年大学管理服务中心,施高琼,0573-88848082,8/9/2022,9/1/2022,浙江勋达工程咨询有限公司,桐乡市老年大学管理服务中心直播录播教室项目,桐乡市老年大学管理服务中心直播录播教室项目,500000,11N70515017420227001,18905779002,执业证书信息,执业证书信息,执业证书信息,https://zfcg.czt.zj.gov.cn/innerUsed_noticeDetails/index.html?noticeId=8929339,报价:497940(元),杭州羽滕网络技术有限公司,
