浙江省普通高等学校名单,,,,,,,,
序号,学校名称,学校标识码,主管部门,省份,所在地,办学层次,负责人,备注
1,浙江大学,4133010335,教育部,浙江省,杭州市,本科,,
2,杭州电子科技大学,4133010336,浙江省,浙江省,杭州市,本科,,
3,浙江工业大学,4133010337,浙江省,浙江省,杭州市,本科,,
4,浙江理工大学,4133010338,浙江省,浙江省,杭州市,本科,,
5,浙江海洋大学,4133010340,浙江省,浙江省,舟山市,本科,,
6,浙江农林大学,4133010341,浙江省,浙江省,杭州市,本科,,
7,温州医科大学,4133010343,浙江省,浙江省,温州市,本科,,
8,浙江中医药大学,4133010344,浙江省,浙江省,杭州市,本科,,
9,浙江师范大学,4133010345,浙江省,浙江省,金华市,本科,,
10,杭州师范大学,4133010346,浙江省,浙江省,杭州市,本科,,
11,湖州师范学院,4133010347,浙江省,浙江省,湖州市,本科,,
12,绍兴文理学院,4133010349,浙江省,浙江省,绍兴市,本科,,
13,台州学院,4133010350,浙江省,浙江省,台州市,本科,,
14,温州大学,4133010351,浙江省,浙江省,温州市,本科,,
15,丽水学院,4133010352,浙江省,浙江省,丽水市,本科,,
16,浙江工商大学,4133010353,浙江省,浙江省,杭州市,本科,,
17,嘉兴学院,4133010354,浙江省,浙江省,嘉兴市,本科,,
18,中国美术学院,4133010355,浙江省,浙江省,杭州市,本科,,
19,中国计量大学,4133010356,浙江省,浙江省,杭州市,本科,,
20,浙江万里学院,4133010876,浙江省,浙江省,宁波市,本科,,
21,浙江科技学院,4133011057,浙江省,浙江省,杭州市,本科,,
22,宁波工程学院,4133011058,浙江省,浙江省,宁波市,本科,,
23,浙江水利水电学院,4133011481,浙江省,浙江省,杭州市,本科,,
24,浙江财经大学,4133011482,浙江省,浙江省,杭州市,本科,,
25,浙江警察学院,4133011483,浙江省,浙江省,杭州市,本科,,
26,衢州学院,4133011488,浙江省,浙江省,衢州市,本科,,
27,宁波大学,4133011646,浙江省,浙江省,宁波市,本科,,
28,浙江传媒学院,4133011647,浙江省,浙江省,杭州市,本科,,
